"Date","Price","Open","High","Low","Vol.","Change %"
"04/02/2023","117.68","117.73","118.56","116.81","479.25K","0.01%"
"03/26/2023","117.67","114.03","117.70","113.38","1.15M","3.75%"
"03/19/2023","113.42","111.99","115.20","111.91","797.22K","1.67%"
"03/12/2023","111.56","110.18","112.96","109.48","1.43M","0.28%"
"03/05/2023","111.25","116.39","116.89","110.91","821.34K","-4.32%"
"02/26/2023","116.27","114.81","116.35","113.11","2.38M","2.31%"
"02/19/2023","113.65","115.78","116.08","113.07","741.10K","-2.76%"
"02/12/2023","116.88","117.07","118.83","116.04","1.83M","0.04%"
"02/05/2023","116.83","117.29","118.89","116.15","834.15K","-1.13%"
"01/29/2023","118.17","116.18","119.78","115.50","1.90M","1.04%"
"01/22/2023","116.95","114.69","117.49","114.10","1.21M","2.09%"
"01/15/2023","114.56","115.01","115.63","112.36","1.65M","-0.21%"
"01/08/2023","114.80","112.25","114.89","111.10","1.22M","3.01%"
"01/01/2023","111.45","110.04","111.68","108.39","1.30M","2.01%"
"12/25/2022","109.25","109.53","109.97","107.86","1.72M","-0.17%"
"12/18/2022","109.44","109.46","110.55","107.42","2.95M","0.16%"
"12/11/2022","109.27","112.62","116.04","108.68","1.84M","-2.78%"
"12/04/2022","112.40","114.98","115.20","111.74","1.59M","-2.84%"
"11/27/2022","115.69","113.39","116.38","111.99","2.18M","1.30%"
"11/20/2022","114.20","111.60","114.33","111.09","1.29M","1.73%"
"11/13/2022","112.26","112.35","113.93","110.67","2.68M","-0.67%"
"11/06/2022","113.02","106.46","113.27","105.57","1.71M","6.50%"
"10/30/2022","106.12","107.45","108.94","103.32","2.44M","-1.99%"
"10/23/2022","108.28","104.59","108.37","103.80","2.16M","3.84%"
"10/16/2022","104.28","101.88","104.73","101.41","1.49M","4.32%"
"10/09/2022","99.96","101.89","103.16","97.44","1.99M","-1.57%"
"10/02/2022","101.55","100.98","105.98","100.55","1.55M","1.60%"
"09/25/2022","99.95","101.77","103.39","99.90","1.95M","-2.38%"
"09/18/2022","102.39","106.98","108.64","101.29","1.38M","-5.20%"
"09/11/2022","108.01","113.76","114.46","107.13","1.47M","-4.33%"
"09/04/2022","112.90","109.27","113.07","108.01","1.64M","3.60%"
"08/28/2022","108.98","112.11","113.00","108.43","1.01M","-3.48%"
"08/21/2022","112.91","115.82","116.71","112.89","1.01M","-3.56%"
"08/14/2022","117.08","118.53","120.03","116.89","1.01M","-1.80%"
"08/07/2022","119.23","116.15","119.29","114.77","1.56M","3.10%"
"07/31/2022","115.64","115.00","116.21","114.19","856.59K","0.06%"
"07/24/2022","115.57","111.26","115.72","109.72","1.38M","4.17%"
"07/17/2022","110.94","108.83","112.29","107.12","843.77K","2.92%"
"07/10/2022","107.79","108.36","108.46","104.16","1.09M","-1.34%"
"07/03/2022","109.25","105.69","109.70","105.07","2.22M","1.38%"
"06/26/2022","107.76","110.50","110.99","105.48","1.48M","-2.09%"
"06/19/2022","110.06","106.08","110.06","105.31","1.19M","5.48%"
"06/12/2022","104.34","107.72","108.57","103.44","1.44M","-5.57%"
"06/05/2022","110.50","118.77","119.03","110.41","919.07K","-5.89%"
"05/29/2022","117.41","118.43","119.41","116.32","1.15M","-1.06%"
"05/22/2022","118.67","113.36","118.72","111.95","1.15M","5.65%"
"05/15/2022","112.32","113.81","116.17","110.16","1.20M","-1.61%"
"05/08/2022","114.16","114.44","114.65","109.65","1.59M","-1.87%"
"05/01/2022","116.34","117.12","121.87","114.92","1.84M","-0.92%"
"04/24/2022","117.42","120.11","121.44","117.22","1.72M","-2.94%"
"04/17/2022","120.98","124.09","127.47","120.85","1.51M","-2.91%"
"04/10/2022","124.61","125.93","126.25","123.96","736.17K","-1.72%"
"04/03/2022","126.79","128.82","129.81","125.72","764.77K","-1.57%"
"03/27/2022","128.81","128.13","131.09","127.52","1.50M","0.29%"
"03/20/2022","128.44","126.74","128.55","125.66","817.63K","1.34%"
"03/13/2022","126.74","119.49","126.96","118.12","1.14M","6.59%"
"03/06/2022","118.90","121.00","121.64","116.97","2.02M","-2.21%"
"02/27/2022","121.59","123.78","125.28","120.41","1.17M","-2.95%"
"02/20/2022","125.28","124.31","125.44","117.94","1.38M","0.14%"
"02/13/2022","125.10","126.40","128.73","124.50","1.89M","-1.22%"
"02/06/2022","126.64","128.46","131.20","126.19","950.05K","-1.23%"
"01/30/2022","128.22","125.98","130.59","125.66","635.04K","1.81%"
"01/23/2022","125.94","124.29","127.19","121.29","1.47M","-0.20%"
"01/16/2022","126.19","131.32","131.60","126.18","1.34M","-5.12%"
"01/09/2022","133.00","132.12","135.11","130.41","1.57M","-0.14%"
"01/02/2022","133.19","135.87","136.69","132.60","1.17M","-1.57%"
"12/26/2021","135.32","134.80","136.41","134.79","685.13K","0.62%"
"12/19/2021","134.48","130.09","134.83","129.22","1.45M","2.38%"
"12/12/2021","131.35","133.49","134.29","130.80","1.07M","-2.40%"
"12/05/2021","134.58","131.15","135.09","130.28","1.04M","3.21%"
"11/28/2021","130.40","133.41","133.67","129.17","1.37M","-1.21%"
"11/21/2021","132.00","136.01","136.47","131.68","724.79K","-2.67%"
"11/14/2021","135.62","136.44","136.66","135.42","335.17K","-0.30%"
"11/07/2021","136.03","136.64","136.75","134.42","543.13K","-0.24%"
"10/31/2021","136.36","134.28","136.71","133.85","1.10M","1.88%"
"10/24/2021","133.84","132.93","133.93","132.41","289.23K","0.83%"
"10/17/2021","132.74","130.32","133.11","130.19","355.13K","1.33%"
"10/10/2021","131.00","128.26","131.07","127.25","318.36K","2.18%"
"10/03/2021","128.20","127.15","129.07","125.27","526.24K","0.56%"
"09/26/2021","127.49","130.25","130.57","125.77","605.21K","-2.37%"
"09/19/2021","130.58","127.96","131.20","126.49","680.69K","0.32%"
"09/12/2021","130.16","132.07","132.13","130.01","637.95K","-0.71%"
"09/05/2021","131.09","133.11","133.13","130.95","199.99K","-1.47%"
"08/29/2021","133.05","132.05","133.22","131.92","536.04K","0.93%"
"08/22/2021","131.83","130.35","131.94","130.35","408.32K","1.64%"
"08/15/2021","129.70","130.84","131.34","127.93","476.40K","-1.26%"
"08/08/2021","131.36","130.26","131.39","129.83","483.47K","1.01%"
"08/01/2021","130.05","129.67","130.38","128.66","435.55K","0.95%"
"07/25/2021","128.83","129.06","130.00","127.99","545.38K","-0.28%"
"07/18/2021","129.19","125.25","129.27","124.12","626.50K","1.91%"
"07/11/2021","126.77","128.30","128.93","126.71","383.15K","-1.13%"
"07/04/2021","128.22","127.91","128.29","125.87","440.20K","0.30%"
"06/27/2021","127.84","126.75","127.85","126.30","1.05M","0.86%"
"06/20/2021","126.75","124.23","126.81","123.96","248.17K","2.54%"
"06/13/2021","123.61","126.45","126.93","123.59","535.17K","-2.24%"
"06/06/2021","126.44","126.77","127.05","125.56","183.24K","-0.11%"
"05/30/2021","126.58","126.43","126.67","124.99","377.04K","0.78%"
"05/23/2021","125.60","124.69","126.05","124.69","489.65K","1.14%"
"05/16/2021","124.18","123.69","124.88","121.26","551.03K","0.02%"
"05/09/2021","124.15","125.89","125.89","120.75","451.86K","-1.26%"
"05/02/2021","125.73","124.56","125.79","122.14","433.05K","1.72%"
"04/25/2021","123.61","124.47","125.50","123.46","892.80K","-0.49%"
"04/18/2021","124.22","124.36","124.61","122.32","421.00K","-0.18%"
"04/11/2021","124.44","122.47","124.66","122.11","554.31K","1.53%"
"04/04/2021","122.56","120.57","122.74","120.57","657.48K","2.32%"
"03/28/2021","119.78","118.04","119.87","117.62","503.43K","1.08%"
"03/21/2021","118.50","117.52","118.80","115.41","698.99K","0.77%"
"03/14/2021","117.59","118.11","119.36","116.70","664.85K","-0.44%"
"03/07/2021","118.11","115.20","118.44","114.40","503.86K","2.66%"
"02/28/2021","115.05","115.77","117.16","112.20","245.43K","0.68%"
"02/21/2021","114.27","116.62","118.11","113.93","368.76K","-2.95%"
"02/14/2021","117.74","118.90","119.36","116.84","194.44K","-0.46%"
"02/07/2021","118.28","116.89","118.37","116.68","161.11K","1.79%"
"01/31/2021","116.20","112.49","116.39","112.06","604.66K","4.22%"
"01/24/2021","111.49","115.35","116.00","111.03","821.23K","-3.35%"
"01/17/2021","115.35","114.38","116.11","113.96","342.28K","1.59%"
"01/10/2021","113.55","113.89","115.21","112.98","429.98K","-1.53%"
"01/03/2021","115.31","113.53","115.31","110.62","503.97K","2.58%"
"12/27/2020","112.41","112.42","112.94","112.00","492.45K","0.87%"
"12/20/2020","111.44","109.91","111.57","109.15","376.37K","-0.18%"
"12/13/2020","111.64","110.70","112.31","109.65","499.91K","1.06%"
"12/06/2020","110.47","111.03","112.03","109.85","1.20M","-0.85%"
"11/29/2020","111.42","109.37","111.42","108.35","1.37M","1.70%"
"11/22/2020","109.56","107.63","109.71","106.91","290.70K","2.33%"
"11/15/2020","107.06","107.70","108.10","106.42","251.92K","0.36%"
"11/08/2020","106.68","107.97","108.27","104.92","348.25K","2.66%"
"11/01/2020","103.92","97.60","104.35","96.84","376.98K","7.66%"
"10/25/2020","96.53","101.14","101.33","95.64","648.35K","-5.68%"
"10/18/2020","102.34","103.01","103.26","100.88","247.12K","-0.27%"
"10/11/2020","102.62","103.59","104.52","101.44","198.34K","-0.27%"
"10/04/2020","102.90","100.22","103.00","99.78","227.52K","3.52%"
"09/27/2020","99.40","99.28","100.35","98.59","303.96K","1.47%"
"09/20/2020","97.96","97.64","98.79","95.79","882.61K","-1.56%"
"09/13/2020","99.51","100.51","102.00","98.93","360.55K","0.12%"
"09/06/2020","99.39","99.36","101.50","98.66","712.58K","-1.74%"
"08/30/2020","101.15","103.27","105.13","99.12","311.03K","-2.10%"
"08/23/2020","103.32","101.58","103.40","101.15","350.20K","2.71%"
"08/16/2020","100.59","100.41","101.12","99.49","407.34K","0.62%"
"08/09/2020","99.97","99.15","100.62","98.68","218.23K","1.13%"
"08/02/2020","98.85","97.37","99.22","97.19","145.61K","2.28%"
"07/26/2020","96.65","96.43","97.57","95.45","711.42K","0.72%"
"07/19/2020","95.96","96.24","97.76","95.59","200.72K","-0.30%"
"07/12/2020","96.25","95.51","96.77","93.65","827.64K","1.39%"
"07/05/2020","94.93","94.75","95.02","93.01","387.52K","1.68%"
"06/28/2020","93.36","90.68","94.32","90.16","493.97K","3.55%"
"06/21/2020","90.16","92.34","94.03","90.08","317.44K","-2.24%"
"06/14/2020","92.23","88.79","93.79","88.50","430.75K","0.76%"
"06/07/2020","91.53","96.14","96.96","89.94","549.68K","-4.39%"
"05/31/2020","95.73","90.82","96.16","90.71","232.83K","5.55%"
"05/24/2020","90.70","89.70","91.68","88.77","202.13K","3.70%"
"05/17/2020","87.46","86.74","88.56","86.61","580.52K","3.05%"
"05/10/2020","84.87","86.41","87.40","82.26","510.15K","-2.46%"
"05/03/2020","87.01","83.51","87.04","83.25","1.71M","3.42%"
"04/26/2020","84.13","84.44","88.09","83.76","1.19M","0.33%"
"04/19/2020","83.85","83.70","84.96","81.04","671.02K","-1.20%"
"04/12/2020","84.87","82.66","85.14","81.46","916.76K","2.23%"
"04/05/2020","83.02","77.57","83.77","77.37","952.12K","11.03%"
"03/29/2020","74.77","77.01","79.19","73.93","2.00M","-2.41%"
"03/22/2020","76.62","69.21","79.30","66.38","2.81M","11.64%"
"03/15/2020","68.63","70.13","75.11","67.58","1.41M","-13.81%"
"03/08/2020","79.63","84.15","86.72","73.62","1.84M","-11.82%"
"03/01/2020","90.30","90.68","95.15","88.50","1.11M","0.70%"
"02/23/2020","89.67","97.45","98.21","87.68","2.69M","-11.12%"
"02/16/2020","100.89","101.72","102.28","100.61","413.12K","-1.01%"
"02/09/2020","101.92","100.62","102.19","100.48","188.05K","1.28%"
"02/02/2020","100.63","98.08","101.41","98.08","904.88K","2.97%"
"01/26/2020","97.73","97.94","99.72","97.58","818.19K","-2.33%"
"01/19/2020","100.06","100.83","101.10","99.68","225.01K","-1.09%"
"01/12/2020","101.16","99.72","101.16","99.54","475.59K","1.73%"
"01/05/2020","99.44","98.32","99.96","98.32","613.75K","0.76%"
"12/29/2019","98.69","99.08","99.57","98.21","420.30K","-0.38%"
"12/22/2019","99.07","98.68","99.31","98.25","256.47K","0.57%"
"12/15/2019","98.51","98.03","98.64","97.71","979.45K","0.33%"
"12/08/2019","98.19","97.03","98.50","96.45","493.85K","1.12%"
"12/01/2019","97.10","96.88","97.27","94.90","769.55K","0.35%"
"11/24/2019","96.76","96.28","97.35","96.28","360.17K","0.82%"
"11/17/2019","95.97","96.36","96.75","95.58","241.29K","-0.53%"
"11/10/2019","96.48","95.60","96.48","95.18","198.93K","0.75%"
"11/03/2019","95.76","95.77","96.06","95.19","588.27K","0.68%"
"10/27/2019","95.11","94.11","95.11","93.74","223.69K","1.49%"
"10/20/2019","93.72","93.20","93.79","92.71","123.26K","1.15%"
"10/13/2019","92.65","91.58","93.18","91.58","553.16K","0.76%"
"10/06/2019","91.95","90.70","92.49","89.42","556.61K","1.28%"
"09/29/2019","90.79","91.66","92.10","88.57","257.21K","-0.86%"
"09/22/2019","91.58","92.12","92.76","91.08","244.52K","-0.87%"
"09/15/2019","92.38","92.20","93.15","91.89","303.29K","-0.18%"
"09/08/2019","92.55","91.85","92.89","91.10","340.79K","1.13%"
"09/01/2019","91.52","89.20","91.79","88.96","80.38K","1.87%"
"08/25/2019","89.84","88.29","90.06","87.89","252.54K","2.65%"
"08/18/2019","87.52","89.46","89.92","87.29","131.84K","-1.11%"
"08/11/2019","88.50","89.25","90.37","86.99","217.42K","-1.48%"
"08/04/2019","89.83","89.01","90.37","87.19","273.68K","-0.32%"
"07/28/2019","90.12","93.05","93.13","89.81","197.37K","-3.15%"
"07/21/2019","93.05","92.09","93.15","91.93","99.20K","1.28%"
"07/14/2019","91.87","92.82","92.82","91.69","156.92K","-0.93%"
"07/07/2019","92.73","91.99","92.77","91.29","356.40K","0.41%"
"06/30/2019","92.35","92.10","92.64","91.40","189.20K","1.46%"
"06/23/2019","91.02","91.14","91.28","90.20","149.31K","0.02%"
"06/16/2019","91.00","89.18","91.48","88.98","158.51K","0.83%"
"06/09/2019","90.25","90.64","91.29","90.12","283.79K","0.03%"
"06/02/2019","90.22","86.75","90.54","86.31","290.97K","3.99%"
"05/26/2019","86.76","88.95","89.07","86.40","198.34K","-2.26%"
"05/19/2019","88.77","88.85","89.66","87.97","121.78K","-0.82%"
"05/12/2019","89.50","88.38","90.38","87.79","152.06K","-0.50%"
"05/05/2019","89.95","90.36","91.56","88.59","402.07K","-2.37%"
"04/28/2019","92.13","91.76","92.25","90.79","382.69K","0.44%"
"04/21/2019","91.73","90.94","91.82","90.94","177.72K","0.57%"
"04/14/2019","91.21","91.08","91.59","90.86","113.38K","0.15%"
"04/07/2019","91.07","90.62","91.14","90.12","225.73K","0.50%"
"03/31/2019","90.62","89.65","90.64","89.44","483.92K","2.06%"
"03/24/2019","88.79","87.83","88.99","87.43","192.97K","1.09%"
"03/17/2019","87.83","88.85","89.62","87.82","338.16K","-1.04%"
"03/10/2019","88.75","86.52","88.89","86.52","256.55K","2.91%"
"03/03/2019","86.24","88.34","88.39","85.63","285.85K","-2.08%"
"02/24/2019","88.07","88.20","88.26","87.49","183.29K","0.50%"
"02/17/2019","87.63","86.70","87.70","86.70","251.10K","0.79%"
"02/10/2019","86.94","84.78","86.94","84.59","204.89K","2.62%"
"02/03/2019","84.72","84.97","85.98","84.03","467.91K","-0.25%"
"01/27/2019","84.93","83.15","85.19","82.78","1.70M","1.30%"
"01/20/2019","83.84","83.26","84.86","82.25","492.92K","0.06%"
"01/13/2019","83.79","81.16","83.94","81.16","1.45M","2.47%"
