"Date","Price","Open","High","Low","Vol.","Change %"
"11/15/2020","1,148.00","1,111.00","1,148.00","1,111.00","","2.96%"
"11/08/2020","1,115.00","1,207.00","1,207.00","1,124.00","","-6.77%"
"11/01/2020","1,196.00","1,284.00","1,284.00","1,194.00","","-6.78%"
"10/25/2020","1,283.00","1,402.00","1,413.00","1,283.00","","-9.33%"
"10/18/2020","1,415.00","1,409.00","1,415.00","1,346.00","","-4.20%"
"10/11/2020","1,477.00","1,807.00","1,807.00","1,477.00","","-21.93%"
"10/04/2020","1,892.00","2,071.00","2,097.00","1,892.00","","-6.34%"
"09/27/2020","2,020.00","1,654.00","2,020.00","1,654.00","","21.18%"
"09/20/2020","1,667.00","1,314.00","1,667.00","1,314.00","","28.63%"
"09/13/2020","1,296.00","1,282.00","1,296.00","1,281.00","","2.29%"
"09/06/2020","1,267.00","1,349.00","1,349.00","1,267.00","","-6.98%"
"08/30/2020","1,362.00","1,471.00","1,471.00","1,362.00","","-8.47%"
"08/23/2020","1,488.00","1,491.00","1,518.00","1,488.00","","0.47%"
"08/16/2020","1,481.00","1,598.00","1,598.00","1,481.00","","-7.15%"
"08/09/2020","1,595.00","1,506.00","1,595.00","1,506.00","","6.26%"
"08/02/2020","1,501.00","1,385.00","1,501.00","1,385.00","","11.19%"
"07/26/2020","1,350.00","1,293.00","1,350.00","1,264.00","","2.51%"
"07/19/2020","1,317.00","1,678.00","1,678.00","1,317.00","","-22.98%"
"07/12/2020","1,710.00","1,792.00","1,792.00","1,696.00","","-5.52%"
"07/05/2020","1,810.00","1,956.00","1,956.00","1,810.00","","-4.44%"
"06/28/2020","1,894.00","1,794.00","1,894.00","1,794.00","","8.29%"
"06/21/2020","1,749.00","1,558.00","1,749.00","1,558.00","","12.48%"
"06/14/2020","1,555.00","973.00","1,555.00","973.00","","68.47%"
"06/07/2020","923.00","698.00","923.00","698.00","","35.94%"
"05/31/2020","679.00","520.00","679.00","520.00","","34.72%"
"05/24/2020","504.00","506.00","506.00","489.00","","1.20%"
"05/17/2020","498.00","427.00","498.00","427.00","","22.36%"
"05/10/2020","407.00","474.00","474.00","393.00","","-20.82%"
"05/03/2020","514.00","598.00","598.00","514.00","","-16.69%"
"04/26/2020","617.00","661.00","661.00","617.00","","-7.22%"
"04/19/2020","665.00","757.00","757.00","665.00","","-11.45%"
"04/12/2020","751.00","679.00","751.00","679.00","","18.27%"
"04/05/2020","635.00","604.00","635.00","596.00","","3.08%"
"03/29/2020","616.00","548.00","626.00","548.00","","10.79%"
"03/22/2020","556.00","617.00","617.00","556.00","","-11.04%"
"03/15/2020","625.00","623.00","630.00","612.00","","-0.95%"
"03/08/2020","631.00","616.00","633.00","616.00","","2.27%"
"03/01/2020","617.00","539.00","617.00","539.00","","15.33%"
"02/23/2020","535.00","506.00","535.00","506.00","","7.65%"
"02/16/2020","497.00","434.00","497.00","434.00","","16.94%"
"02/09/2020","425.00","411.00","425.00","411.00","","2.41%"
"02/02/2020","415.00","466.00","466.00","415.00","","-14.78%"
"01/26/2020","487.00","546.00","546.00","487.00","","-12.57%"
"01/19/2020","557.00","729.00","729.00","557.00","","-26.13%"
"01/12/2020","754.00","765.00","768.00","754.00","","-2.58%"
"01/05/2020","774.00","844.00","844.00","772.00","","-14.66%"
"12/29/2019","907.00","976.00","976.00","907.00","","-16.79%"
"12/22/2019","1,090.00","1,103.00","1,103.00","1,090.00","","-2.94%"
"12/15/2019","1,123.00","1,315.00","1,315.00","1,123.00","","-17.12%"
"12/08/2019","1,355.00","1,551.00","1,551.00","1,355.00","","-13.03%"
"12/01/2019","1,558.00","1,568.00","1,606.00","1,558.00","","1.96%"
"11/24/2019","1,528.00","1,351.00","1,528.00","1,351.00","","19.00%"
"11/17/2019","1,284.00","1,338.00","1,338.00","1,255.00","","-5.38%"
"11/10/2019","1,357.00","1,345.00","1,365.00","1,345.00","","-1.52%"
"11/03/2019","1,378.00","1,675.00","1,675.00","1,378.00","","-18.80%"
"10/27/2019","1,697.00","1,803.00","1,803.00","1,697.00","","-5.77%"
"10/20/2019","1,801.00","1,846.00","1,846.00","1,779.00","","-2.91%"
"10/13/2019","1,855.00","1,916.00","1,916.00","1,855.00","","-3.59%"
"10/06/2019","1,924.00","1,770.00","1,929.00","1,770.00","","8.89%"
"09/29/2019","1,767.00","1,823.00","1,823.00","1,757.00","","-4.85%"
"09/22/2019","1,857.00","2,108.00","2,116.00","1,857.00","","-12.86%"
"09/15/2019","2,131.00","2,311.00","2,311.00","2,131.00","","-7.83%"
"09/08/2019","2,312.00","2,422.00","2,422.00","2,312.00","","-6.09%"
"09/01/2019","2,462.00","2,442.00","2,518.00","2,442.00","","3.53%"
"08/25/2019","2,378.00","2,213.00","2,378.00","2,213.00","","9.69%"
"08/18/2019","2,168.00","2,067.00","2,168.00","2,059.00","","3.83%"
"08/11/2019","2,088.00","1,774.00","2,088.00","1,774.00","","19.45%"
"08/04/2019","1,748.00","1,774.00","1,774.00","1,712.00","","-2.24%"
"07/28/2019","1,788.00","1,922.00","1,922.00","1,788.00","","-7.69%"
"07/21/2019","1,937.00","2,191.00","2,191.00","1,937.00","","-10.74%"
"07/14/2019","2,170.00","1,928.00","2,170.00","1,928.00","","16.35%"
"07/07/2019","1,865.00","1,725.00","1,865.00","1,725.00","","7.18%"
"06/30/2019","1,740.00","1,381.00","1,740.00","1,381.00","","28.51%"
"06/23/2019","1,354.00","1,258.00","1,354.00","1,258.00","","9.28%"
"06/16/2019","1,239.00","1,093.00","1,239.00","1,093.00","","14.19%"
"06/09/2019","1,085.00","1,125.00","1,125.00","1,062.00","","-4.66%"
