"","Date","Price","Open","High","Low","Vol.","Return"
"286",2021-06-20,1780.34,"1,764.44","1,795.18","1,764.44",NA,0.96
"287",2021-06-27,1786.79,"1,781.24","1,795.40","1,750.11",NA,0.36
"288",2021-07-04,1807.98,"1,787.69","1,818.70","1,784.09",NA,1.19
"289",2021-07-11,1810.89,"1,807.94","1,833.99","1,791.21",NA,0.16
"290",2021-07-18,1801.34,"1,811.65","1,825.27","1,790.45",NA,-0.53
"291",2021-07-25,1813.58,"1,802.65","1,833.05","1,792.60",NA,0.68
"292",2021-08-01,1762.69,"1,814.34","1,832.10","1,758.33",NA,-2.81
"293",2021-08-08,1779.15,"1,763.34","1,780.53","1,684.77",NA,0.93
"294",2021-08-15,1780.87,"1,778.44","1,795.77","1,770.38",NA,0.1
"295",2021-08-22,1816.67,"1,780.55","1,819.38","1,776.03",NA,2.01
"296",2021-08-29,1826.19,"1,817.55","1,834.55","1,801.47",NA,0.52
"297",2021-09-05,1787.34,"1,828.66","1,830.60","1,781.98",NA,-2.13
"298",2021-09-12,1754.16,"1,788.55","1,808.99","1,745.04",NA,-1.86
"299",2021-09-19,1749.86,"1,754.30","1,787.51","1,737.84",NA,-0.24
"300",2021-09-26,1760.36,"1,751.24","1,764.63","1,721.07",NA,0.6
"301",2021-10-03,1756.67,"1,762.15","1,781.60","1,745.45",NA,-0.21
"302",2021-10-10,1767.26,"1,757.34","1,800.91","1,749.68",NA,0.6
"303",2021-10-17,1792.48,"1,767.74","1,814.22","1,759.68",NA,1.43
"304",2021-10-24,1782.81,"1,794.00","1,810.49","1,771.70",NA,-0.54
"305",2021-10-31,1816.73,"1,783.24","1,818.61","1,758.45",NA,1.9
"306",2021-11-07,1864.04,"1,818.44","1,868.73","1,812.08",NA,2.6
"307",2021-11-14,1844.6,"1,868.15","1,877.40","1,842.98",NA,-1.04
"308",2021-11-21,1791.81,"1,846.74","1,849.49","1,778.44",NA,-2.86
"309",2021-11-28,1783.74,"1,790.05","1,809.38","1,761.68",NA,-0.45
"310",2021-12-05,1782.51,"1,784.79","1,793.60","1,769.43",NA,-0.07
"311",2021-12-12,1797.68,"1,782.94","1,814.63","1,753.84",NA,0.85
"312",2021-12-19,1808.11,"1,799.40","1,812.70","1,784.58",NA,0.58
"313",2021-12-26,1828.39,"1,808.19","1,830.58","1,788.94",NA,1.12
"314",2022-01-02,1795.63,"1,830.14","1,832.06","1,782.63",NA,-1.79
"315",2022-01-09,1817.22,"1,795.41","1,829.66","1,790.43",NA,1.2
"316",2022-01-16,1833.24,"1,817.90","1,848.36","1,805.53",NA,0.88
"317",2022-01-23,1791.03,"1,834.49","1,853.98","1,779.88",NA,-2.3
"318",2022-01-30,1807.49,"1,791.19","1,815.44","1,785.03",NA,0.92
"319",2022-02-06,1859.96,"1,806.99","1,865.63","1,806.94",NA,2.9
"320",2022-02-13,1897.87,"1,861.55","1,902.84","1,844.27",NA,2.04
"321",2022-02-20,1887.56,"1,900.40","1,974.48","1,879.05",NA,-0.54
"322",2022-02-27,1968.45,"1,920.86","1,970.80","1,890.59",NA,4.29
"323",2022-03-06,1985.29,"1,977.09","2,070.29","1,958.80",NA,0.86
"324",2022-03-13,1921.09,"1,985.49","1,990.33","1,895.22",NA,-3.23
"325",2022-03-20,1957.4,"1,922.24","1,966.19","1,910.89",NA,1.89
"326",2022-03-27,1924.3,"1,958.75","1,959.36","1,890.03",NA,-1.69
"327",2022-04-03,1945.85,"1,924.94","1,948.46","1,915.24",NA,1.12
"328",2022-04-10,1974.54,"1,947.15","1,981.82","1,940.05",NA,1.47
"329",2022-04-17,1929.73,"1,972.84","1,998.60","1,926.52",NA,-2.27
"330",2022-04-24,1896.4,"1,931.09","1,934.71","1,872.19",NA,-1.73
"331",2022-05-01,1882.96,"1,896.09","1,910.03","1,850.33",NA,-0.71
"332",2022-05-08,1811.15,"1,883.80","1,885.95","1,799.24",NA,-3.81
"333",2022-05-15,1845.68,"1,811.05","1,849.59","1,786.95",NA,1.91
"334",2022-05-22,1852.73,"1,846.53","1,869.99","1,841.14",NA,0.38
"335",2022-05-29,1850.77,"1,852.19","1,874.30","1,828.28",NA,-0.11
"336",2022-06-05,1870.96,"1,850.29","1,876.47","1,825.02",NA,1.09
"337",2022-06-12,1839.35,"1,875.80","1,877.38","1,804.65",NA,-1.69
"338",2022-06-19,1826.18,"1,840.40","1,848.44","1,816.70",NA,-0.72
"339",2022-06-26,1810.18,"1,838.15","1,841.34","1,784.10",NA,-0.88
"340",2022-07-03,1741.82,"1,812.27","1,814.36","1,731.75",NA,-3.78
"341",2022-07-10,1706.78,"1,742.86","1,745.54","1,697.48",NA,-2.01
"342",2022-07-17,1726.46,"1,707.94","1,739.28","1,680.78",NA,1.15
"343",2022-07-24,1765.22,"1,728.15","1,768.17","1,711.46",NA,2.25
"344",2022-07-31,1774.15,"1,765.05","1,795.29","1,754.33",NA,0.51
"345",2022-08-07,1801.76,"1,773.57","1,807.90","1,770.94",NA,1.56
"346",2022-08-14,1747.83,"1,802.05","1,802.53","1,745.19",NA,-2.99
"347",2022-08-21,1736.86,"1,747.05","1,765.93","1,727.51",NA,-0.63
"348",2022-08-28,1711.44,"1,736.19","1,745.63","1,688.35",NA,-1.46
"349",2022-09-04,1716.05,"1,712.99","1,729.94","1,690.90",NA,0.27
"350",2022-09-11,1674.94,"1,717.05","1,735.37","1,653.85",NA,-2.4
"351",2022-09-18,1643.09,"1,675.44","1,688.15","1,639.59",NA,-1.9
"352",2022-09-25,1659.67,"1,645.40","1,675.57","1,614.35",NA,1.01
